pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1420001","2020","Arsenic","Balaton","Lyon","Balaton","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","639","27083"
"1420002","2020","Arsenic","Cottonwood","Lyon","Cottonwood","Groundwater","1.1 ug/L","1.1 ug/L","1212","27083"
"1420003","2020","Arsenic","Florence","Lyon","Florence","Purchased Groundwater","0.935 ug/L","1.37 ug/L","39","27083"
"1420011","2020","Arsenic","Garvin","Lyon","Garvin","Purchased Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","135","27083"
"1420004","2020","Arsenic","Ghent","Lyon","Ghent","Purchased Groundwater","0.935 ug/L","1.37 ug/L","364","27083"
"1420012","2020","Arsenic","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","0.935 ug/L","1.37 ug/L","89","27083"
"1420005","2020","Arsenic","Lynd","Lyon","Lynd","Purchased Groundwater","0.935 ug/L","1.37 ug/L","448","27083"
"1420006","2020","Arsenic","Marshall","Lyon","Marshall","Groundwater","2.115 ug/L","2.27 ug/L","13680","27083"
"1420007","2020","Arsenic","Minneota","Lyon","Minneota","Purchased Groundwater","0.935 ug/L","1.37 ug/L","1380","27083"
"1420008","2020","Arsenic","Russell","Lyon","Russell","Purchased Groundwater","0.935 ug/L","1.37 ug/L","338","27083"
"1420009","2020","Arsenic","Taunton","Lyon","Taunton","Purchased Groundwater","0.935 ug/L","1.37 ug/L","135","27083"
"1420010","2020","Arsenic","Tracy","Lyon","Tracy","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","2154","27083"
"1420001","2021","Arsenic","Balaton","Lyon","Balaton","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","639","27083"
"1420002","2021","Arsenic","Cottonwood","Lyon","Cottonwood","Groundwater","1.1 ug/L","1.1 ug/L","1212","27083"
"1420003","2021","Arsenic","Florence","Lyon","Florence","Purchased Groundwater","1.77 ug/L","2.1 ug/L","39","27083"
"1420011","2021","Arsenic","Garvin","Lyon","Garvin","Purchased Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","135","27083"
"1420004","2021","Arsenic","Ghent","Lyon","Ghent","Purchased Groundwater","1.77 ug/L","2.1 ug/L","364","27083"
"1420012","2021","Arsenic","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","1.77 ug/L","2.1 ug/L","89","27083"
"1420005","2021","Arsenic","Lynd","Lyon","Lynd","Purchased Groundwater","1.77 ug/L","2.1 ug/L","448","27083"
"1420006","2021","Arsenic","Marshall","Lyon","Marshall","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","13680","27083"
"1420007","2021","Arsenic","Minneota","Lyon","Minneota","Purchased Groundwater","1.77 ug/L","2.1 ug/L","1380","27083"
"1420008","2021","Arsenic","Russell","Lyon","Russell","Purchased Groundwater","1.77 ug/L","2.1 ug/L","338","27083"
"1420009","2021","Arsenic","Taunton","Lyon","Taunton","Purchased Groundwater","1.77 ug/L","2.1 ug/L","135","27083"
"1420010","2021","Arsenic","Tracy","Lyon","Tracy","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","2154","27083"
"1420001","2022","Arsenic","Balaton","Lyon","Balaton","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","639","27083"
"1420002","2022","Arsenic","Cottonwood","Lyon","Cottonwood","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","1212","27083"
"1420003","2022","Arsenic","Florence","Lyon","Florence","Purchased Groundwater","0.99 ug/L","1.8 ug/L","39","27083"
"1420011","2022","Arsenic","Garvin","Lyon","Garvin","Purchased Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","135","27083"
"1420004","2022","Arsenic","Ghent","Lyon","Ghent","Purchased Groundwater","0.99 ug/L","1.8 ug/L","364","27083"
"1420012","2022","Arsenic","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","0.99 ug/L","1.8 ug/L","89","27083"
"1420005","2022","Arsenic","Lynd","Lyon","Lynd","Purchased Groundwater","0.99 ug/L","1.8 ug/L","448","27083"
"1420006","2022","Arsenic","Marshall","Lyon","Marshall","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","13680","27083"
"1420007","2022","Arsenic","Minneota","Lyon","Minneota","Purchased Groundwater","0.99 ug/L","1.8 ug/L","1380","27083"
"1420008","2022","Arsenic","Russell","Lyon","Russell","Purchased Groundwater","0.99 ug/L","1.8 ug/L","338","27083"
"1420009","2022","Arsenic","Taunton","Lyon","Taunton","Purchased Groundwater","0.99 ug/L","1.8 ug/L","135","27083"
"1420010","2022","Arsenic","Tracy","Lyon","Tracy","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","2154","27083"
"1420001","2020","HAA5","Balaton","Lyon","Balaton","Groundwater","2.2 ug/L","2.2 ug/L","639","27083"
"1420002","2020","HAA5","Cottonwood","Lyon","Cottonwood","Groundwater","3.6 ug/L","3.6 ug/L","1212","27083"
"1420003","2020","HAA5","Florence","Lyon","Florence","Purchased Groundwater","11.0 ug/L","18.1 ug/L","39","27083"
"1420011","2020","HAA5","Garvin","Lyon","Garvin","Purchased Groundwater","28.0 ug/L","40.0 ug/L","135","27083"
"1420004","2020","HAA5","Ghent","Lyon","Ghent","Purchased Groundwater","1.2 ug/L","14.3 ug/L","364","27083"
"1420012","2020","HAA5","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","1.1 ug/L","14.3 ug/L","89","27083"
"1420005","2020","HAA5","Lynd","Lyon","Lynd","Purchased Groundwater","11.0 ug/L","18.1 ug/L","448","27083"
"1420006","2020","HAA5","Marshall","Lyon","Marshall","Groundwater","1.0 ug/L (ND)","1.0 ug/L (ND)","13680","27083"
"1420007","2020","HAA5","Minneota","Lyon","Minneota","Purchased Groundwater","1.0 ug/L","14.3 ug/L","1380","27083"
"1420008","2020","HAA5","Russell","Lyon","Russell","Purchased Groundwater","6.4 ug/L","14.3 ug/L","338","27083"
"1420009","2020","HAA5","Taunton","Lyon","Taunton","Purchased Groundwater","11.0 ug/L","18.1 ug/L","135","27083"
"1420010","2020","HAA5","Tracy","Lyon","Tracy","Groundwater","1.2 ug/L","1.2 ug/L","2154","27083"
"1420001","2021","HAA5","Balaton","Lyon","Balaton","Groundwater","7.1 ug/L","7.1 ug/L","639","27083"
"1420002","2021","HAA5","Cottonwood","Lyon","Cottonwood","Groundwater","2.2 ug/L","2.2 ug/L","1212","27083"
"1420003","2021","HAA5","Florence","Lyon","Florence","Purchased Groundwater","6.7 ug/L","10.0 ug/L","39","27083"
"1420011","2021","HAA5","Garvin","Lyon","Garvin","Purchased Groundwater","29.6 ug/L","40.3 ug/L","135","27083"
"1420004","2021","HAA5","Ghent","Lyon","Ghent","Purchased Groundwater","7.08 ug/L","10.0 ug/L","364","27083"
"1420012","2021","HAA5","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","7.08 ug/L","10.0 ug/L","89","27083"
"1420005","2021","HAA5","Lynd","Lyon","Lynd","Purchased Groundwater","7.08 ug/L","10.0 ug/L","448","27083"
"1420006","2021","HAA5","Marshall","Lyon","Marshall","Groundwater","1.0 ug/L (ND)","1.0 ug/L (ND)","13680","27083"
"1420007","2021","HAA5","Minneota","Lyon","Minneota","Purchased Groundwater","6.7 ug/L","1.2 ug/L","1380","27083"
"1420008","2021","HAA5","Russell","Lyon","Russell","Purchased Groundwater","7.08 ug/L","10.0 ug/L","338","27083"
"1420009","2021","HAA5","Taunton","Lyon","Taunton","Purchased Groundwater","7.08 ug/L","10.0 ug/L","135","27083"
"1420010","2021","HAA5","Tracy","Lyon","Tracy","Groundwater","1.7 ug/L","1.7 ug/L","2154","27083"
"1420001","2022","HAA5","Balaton","Lyon","Balaton","Groundwater","5.7 ug/L","5.7 ug/L","639","27083"
"1420002","2022","HAA5","Cottonwood","Lyon","Cottonwood","Groundwater","1.4 ug/L","1.4 ug/L","1212","27083"
"1420003","2022","HAA5","Florence","Lyon","Florence","Purchased Groundwater","7.9 ug/L","7.9 ug/L","39","27083"
"1420011","2022","HAA5","Garvin","Lyon","Garvin","Purchased Groundwater","15.8 ug/L","15.8 ug/L","135","27083"
"1420004","2022","HAA5","Ghent","Lyon","Ghent","Purchased Groundwater","6.63 ug/L","8.8 ug/L","364","27083"
"1420012","2022","HAA5","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","6.63 ug/L","8.8 ug/L","89","27083"
"1420005","2022","HAA5","Lynd","Lyon","Lynd","Purchased Groundwater","1.9 ug/L","6.95 ug/L","448","27083"
"1420006","2022","HAA5","Marshall","Lyon","Marshall","Groundwater","1.0 ug/L (ND)","1.0 ug/L (ND)","13680","27083"
"1420007","2022","HAA5","Minneota","Lyon","Minneota","Purchased Groundwater","1.1 ug/L","6.95 ug/L","1380","27083"
"1420008","2022","HAA5","Russell","Lyon","Russell","Purchased Groundwater","6.63 ug/L","8.8 ug/L","338","27083"
"1420009","2022","HAA5","Taunton","Lyon","Taunton","Purchased Groundwater","1.5 ug/L","6.95 ug/L","135","27083"
"1420010","2022","HAA5","Tracy","Lyon","Tracy","Groundwater","1.0 ug/L (ND)","1.0 ug/L (ND)","2154","27083"
"1420001","2020","Nitrate","Balaton","Lyon","Balaton","Groundwater","0.215 mg/L","0.31 mg/L","639","27083"
"1420002","2020","Nitrate","Cottonwood","Lyon","Cottonwood","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","1212","27083"
"1420003","2020","Nitrate","Florence","Lyon","Florence","Purchased Groundwater","4.796 mg/L","6.2 mg/L","39","27083"
"1420011","2020","Nitrate","Garvin","Lyon","Garvin","Purchased Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","135","27083"
"1420004","2020","Nitrate","Ghent","Lyon","Ghent","Purchased Groundwater","4.796 mg/L","6.2 mg/L","364","27083"
"1420012","2020","Nitrate","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","4.796 mg/L","6.2 mg/L","89","27083"
"1420005","2020","Nitrate","Lynd","Lyon","Lynd","Purchased Groundwater","4.796 mg/L","6.2 mg/L","448","27083"
"1420006","2020","Nitrate","Marshall","Lyon","Marshall","Groundwater","0.3 mg/L","0.3 mg/L","13680","27083"
"1420007","2020","Nitrate","Minneota","Lyon","Minneota","Purchased Groundwater","4.796 mg/L","6.2 mg/L","1380","27083"
"1420008","2020","Nitrate","Russell","Lyon","Russell","Purchased Groundwater","4.796 mg/L","6.2 mg/L","338","27083"
"1420009","2020","Nitrate","Taunton","Lyon","Taunton","Purchased Groundwater","4.796 mg/L","6.2 mg/L","135","27083"
"1420010","2020","Nitrate","Tracy","Lyon","Tracy","Groundwater","0.18 mg/L","0.18 mg/L","2154","27083"
"1420001","2021","Nitrate","Balaton","Lyon","Balaton","Groundwater","0.21 mg/L","0.24 mg/L","639","27083"
"1420002","2021","Nitrate","Cottonwood","Lyon","Cottonwood","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","1212","27083"
"1420003","2021","Nitrate","Florence","Lyon","Florence","Purchased Groundwater","4.2075 mg/L","8.1 mg/L","39","27083"
"1420011","2021","Nitrate","Garvin","Lyon","Garvin","Purchased Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","135","27083"
"1420004","2021","Nitrate","Ghent","Lyon","Ghent","Purchased Groundwater","4.2075 mg/L","8.1 mg/L","364","27083"
"1420012","2021","Nitrate","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","4.2075 mg/L","8.1 mg/L","89","27083"
"1420005","2021","Nitrate","Lynd","Lyon","Lynd","Purchased Groundwater","3.86125 mg/L","8.1 mg/L","448","27083"
"1420006","2021","Nitrate","Marshall","Lyon","Marshall","Groundwater","0.19 mg/L","0.19 mg/L","13680","27083"
"1420007","2021","Nitrate","Minneota","Lyon","Minneota","Purchased Groundwater","4.2075 mg/L","8.1 mg/L","1380","27083"
"1420008","2021","Nitrate","Russell","Lyon","Russell","Purchased Groundwater","4.2075 mg/L","8.1 mg/L","338","27083"
"1420009","2021","Nitrate","Taunton","Lyon","Taunton","Purchased Groundwater","4.2075 mg/L","8.1 mg/L","135","27083"
"1420010","2021","Nitrate","Tracy","Lyon","Tracy","Groundwater","0.08 mg/L","0.08 mg/L","2154","27083"
"1420001","2022","Nitrate","Balaton","Lyon","Balaton","Groundwater","0.485 mg/L","0.84 mg/L","639","27083"
"1420002","2022","Nitrate","Cottonwood","Lyon","Cottonwood","Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","1212","27083"
"1420003","2022","Nitrate","Florence","Lyon","Florence","Purchased Groundwater","5.765 mg/L","9.0 mg/L","39","27083"
"1420011","2022","Nitrate","Garvin","Lyon","Garvin","Purchased Groundwater","0.025 mg/L (ND)","0.025 mg/L (ND)","135","27083"
"1420004","2022","Nitrate","Ghent","Lyon","Ghent","Purchased Groundwater","5.765 mg/L","9.0 mg/L","364","27083"
"1420012","2022","Nitrate","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","5.765 mg/L","9.0 mg/L","89","27083"
"1420005","2022","Nitrate","Lynd","Lyon","Lynd","Purchased Groundwater","5.765 mg/L","9.0 mg/L","448","27083"
"1420006","2022","Nitrate","Marshall","Lyon","Marshall","Groundwater","0.31 mg/L","0.31 mg/L","13680","27083"
"1420007","2022","Nitrate","Minneota","Lyon","Minneota","Purchased Groundwater","5.765 mg/L","9.0 mg/L","1380","27083"
"1420008","2022","Nitrate","Russell","Lyon","Russell","Purchased Groundwater","5.765 mg/L","9.0 mg/L","338","27083"
"1420009","2022","Nitrate","Taunton","Lyon","Taunton","Purchased Groundwater","5.765 mg/L","9.0 mg/L","135","27083"
"1420010","2022","Nitrate","Tracy","Lyon","Tracy","Groundwater","0.45 mg/L","0.45 mg/L","2154","27083"
"1420001","2020","PCE","Balaton","Lyon","Balaton","Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","639","27083"
"1420002","2020","PCE","Cottonwood","Lyon","Cottonwood","Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","1212","27083"
"1420003","2020","PCE","Florence","Lyon","Florence","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","39","27083"
"1420011","2020","PCE","Garvin","Lyon","Garvin","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","135","27083"
"1420004","2020","PCE","Ghent","Lyon","Ghent","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","364","27083"
"1420012","2020","PCE","Fairview Township Water Association","Lyon","Green Valley","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","89","27083"
"1420005","2020","PCE","Lynd","Lyon","Lynd","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","448","27083"
"1420006","2020","PCE","Marshall","Lyon","Marshall","Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","13680","27083"
"1420007","2020","PCE","Minneota","Lyon","Minneota","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","1380","27083"
"1420008","2020","PCE","Russell","Lyon","Russell","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","338","27083"
"1420009","2020","PCE","Taunton","Lyon","Taunton","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","135","27083"
"1420010","2020","PCE","Tracy","Lyon","Tracy","Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","2154","27083"
"1420001","2021","PCE","Balaton","Lyon","Balaton","Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","639","27083"
"1420002","2021","PCE","Cottonwood","Lyon","Cottonwood","Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","1212","27083"
"1420003","2021","PCE","Florence","Lyon","Florence","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","39","27083"
"1420011","2021","PCE","Garvin","Lyon","Garvin","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","135","27083"
"1420004","2021","PCE","Ghent","Lyon","Ghent","Purchased Groundwater","0.1 ug/L (ND)","0.1 ug/L (ND)","364","27083"
